timestamp_local,hours_from_departure,phase,mould_odour_ou,temperature_c,co2_ppm,sound_dba
2023-12-04T23:00,-30,lived-in,18.9,25.06,435,43.7
2023-12-05T00:00,-29,lived-in,18.8,25.14,439,43.4
2023-12-05T01:00,-28,lived-in,14.1,25.19,452,42.9
2023-12-05T02:00,-27,lived-in,9.2,24.99,432,42.8
2023-12-05T03:00,-26,lived-in,5.6,24.63,432,42.6
2023-12-05T04:00,-25,lived-in,9.3,24.64,433,42.6
2023-12-05T05:00,-24,lived-in,5.9,24.39,426,42.7
2023-12-05T06:00,-23,lived-in,8.5,23.96,428,44.3
2023-12-05T07:00,-22,lived-in,36.9,23.91,432,44.4
2023-12-05T08:00,-21,lived-in,24.4,24.33,452,47.4
2023-12-05T09:00,-20,lived-in,23.6,24.87,547,50.2
2023-12-05T10:00,-19,lived-in,20.3,25.45,564,46.7
2023-12-05T11:00,-18,lived-in,40.2,25.83,642,51.3
2023-12-05T12:00,-17,lived-in,51.6,25.81,548,50.9
2023-12-05T13:00,-16,lived-in,136.5,25.63,502,52.7
2023-12-05T14:00,-15,lived-in,65.8,25.42,440,48.5
2023-12-05T15:00,-14,lived-in,32.6,24.68,503,53.2
2023-12-05T16:00,-13,lived-in,20.2,24.63,550,50.4
2023-12-05T17:00,-12,lived-in,36.8,24.67,642,56.7
2023-12-05T18:00,-11,lived-in,74.5,24.56,845,58.2
2023-12-05T19:00,-10,lived-in,18.2,24.49,785,51.5
2023-12-05T20:00,-9,lived-in,23.6,24.56,810,49.0
2023-12-05T21:00,-8,lived-in,18.1,25.10,765,48.2
2023-12-05T22:00,-7,lived-in,49.7,25.06,508,44.3
2023-12-05T23:00,-6,lived-in,24.7,24.81,422,42.7
2023-12-06T00:00,-5,lived-in,18.4,24.80,441,42.8
2023-12-06T01:00,-4,lived-in,33.3,24.57,456,42.8
2023-12-06T02:00,-3,lived-in,13.6,24.20,424,42.4
2023-12-06T03:00,-2,lived-in,6.6,23.80,414,42.4
2023-12-06T04:00,-1,lived-in,5.6,23.51,412,42.8
2023-12-06T05:00,0,empty-ac-off,26.6,24.12,489,50.3
2023-12-06T06:00,1,empty-ac-off,188.2,24.78,579,50.0
2023-12-06T07:00,2,empty-ac-off,228.0,25.57,616,42.1
2023-12-06T08:00,3,empty-ac-off,267.8,25.72,613,41.6
2023-12-06T09:00,4,empty-ac-off,267.7,25.84,585,41.4
2023-12-06T10:00,5,empty-ac-off,258.8,25.94,573,41.4
2023-12-06T11:00,6,empty-ac-off,271.6,26.02,561,42.1
2023-12-06T12:00,7,empty-ac-off,261.0,26.08,552,41.2
2023-12-06T13:00,8,empty-ac-off,267.0,26.12,542,41.2
2023-12-06T14:00,9,empty-ac-off,265.2,26.18,532,41.1
2023-12-06T15:00,10,empty-ac-off,265.5,26.25,517,41.4
2023-12-06T16:00,11,empty-ac-off,260.5,26.26,504,41.3
2023-12-06T17:00,12,empty-ac-off,259.6,26.31,492,41.2
2023-12-06T18:00,13,empty-ac-off,257.3,26.35,482,41.1
2023-12-06T19:00,14,empty-ac-off,264.2,26.37,472,41.2
2023-12-06T20:00,15,empty-ac-off,261.7,26.42,468,41.2
2023-12-06T21:00,16,empty-ac-off,255.3,26.47,463,41.1
2023-12-06T22:00,17,empty-ac-off,251.0,26.43,459,41.2
2023-12-06T23:00,18,empty-ac-off,262.0,26.41,460,41.2
2023-12-07T00:00,19,empty-ac-off,259.7,26.40,458,41.1
2023-12-07T01:00,20,empty-ac-off,260.4,26.39,456,41.1
2023-12-07T02:00,21,empty-ac-off,272.4,26.38,454,41.1
2023-12-07T03:00,22,empty-ac-off,270.1,26.38,450,41.0
2023-12-07T04:00,23,empty-ac-off,264.6,26.37,447,41.1
2023-12-07T05:00,24,empty-ac-off,260.7,26.35,441,41.1
2023-12-07T06:00,25,empty-ac-off,261.4,26.32,436,41.1
2023-12-07T07:00,26,empty-ac-off,263.3,26.30,431,41.2
2023-12-07T08:00,27,empty-ac-off,260.4,26.29,427,41.2
2023-12-07T09:00,28,empty-ac-off,268.0,26.29,425,41.2
2023-12-07T10:00,29,empty-ac-off,267.4,26.32,427,41.2
2023-12-07T11:00,30,empty-ac-off,265.4,26.38,425,41.1
2023-12-07T12:00,31,empty-ac-off,272.3,26.41,427,41.1
2023-12-07T13:00,32,empty-ac-off,276.8,26.47,427,41.3
2023-12-07T14:00,33,empty-ac-off,273.5,26.50,425,41.2
2023-12-07T15:00,34,empty-ac-off,279.9,26.56,418,41.8
2023-12-07T16:00,35,empty-ac-off,278.7,26.60,414,41.5
2023-12-07T17:00,36,empty-ac-off,281.9,26.61,413,41.4
2023-12-07T18:00,37,empty-ac-off,276.0,26.62,418,41.5
2023-12-07T19:00,38,empty-ac-off,277.3,26.61,418,41.4
2023-12-07T20:00,39,empty-ac-off,283.8,26.58,415,41.3
2023-12-07T21:00,40,empty-ac-off,279.9,26.60,415,41.4
2023-12-07T22:00,41,empty-ac-off,286.5,26.44,417,41.2
2023-12-07T23:00,42,empty-ac-off,287.3,26.41,419,41.2
2023-12-08T00:00,43,empty-ac-off,275.1,26.37,421,41.2
2023-12-08T01:00,44,empty-ac-off,281.7,26.36,425,41.0
2023-12-08T02:00,45,empty-ac-off,290.8,26.35,423,41.1
2023-12-08T03:00,46,empty-ac-off,285.7,26.36,426,41.1
2023-12-08T04:00,47,empty-ac-off,275.0,26.37,425,41.1
2023-12-08T05:00,48,empty-ac-off,275.5,26.36,423,41.1
2023-12-08T06:00,49,empty-ac-off,274.1,26.33,420,41.0
2023-12-08T07:00,50,empty-ac-off,266.9,26.30,423,41.0
2023-12-08T08:00,51,empty-ac-off,275.4,26.27,418,41.2
2023-12-08T09:00,52,empty-ac-off,272.5,26.29,419,41.2
2023-12-08T10:00,53,empty-ac-off,271.3,26.34,422,41.2
2023-12-08T11:00,54,empty-ac-off,275.0,26.36,418,41.1
2023-12-08T12:00,55,empty-ac-off,283.2,26.42,413,41.1
2023-12-08T13:00,56,empty-ac-off,283.7,26.47,414,41.1
2023-12-08T14:00,57,empty-ac-off,283.7,26.51,413,41.2
2023-12-08T15:00,58,empty-ac-off,290.8,26.53,413,41.2
2023-12-08T16:00,59,empty-ac-off,282.2,26.59,415,41.3
2023-12-08T17:00,60,empty-ac-off,286.0,26.57,415,41.3
2023-12-08T18:00,61,empty-ac-off,288.2,26.54,411,41.2
2023-12-08T19:00,62,empty-ac-off,287.7,26.53,409,41.2
2023-12-08T20:00,63,empty-ac-off,290.9,26.51,408,41.3
2023-12-08T21:00,64,empty-ac-off,290.9,26.50,410,41.2
2023-12-08T22:00,65,empty-ac-off,291.8,26.50,409,41.2
2023-12-08T23:00,66,empty-ac-off,290.5,26.50,410,41.2
2023-12-09T00:00,67,empty-ac-off,288.7,26.50,417,41.3
2023-12-09T01:00,68,empty-ac-off,285.2,26.47,424,41.1
2023-12-09T02:00,69,empty-ac-off,296.2,26.46,422,41.2
2023-12-09T03:00,70,empty-ac-off,294.7,26.41,431,41.0
2023-12-09T04:00,71,empty-ac-off,286.1,26.37,436,41.0
2023-12-09T05:00,72,empty-ac-off,282.7,26.37,437,41.3
2023-12-09T06:00,73,empty-ac-off,273.8,26.31,440,41.0
2023-12-09T07:00,74,empty-ac-off,270.8,26.29,439,41.1
2023-12-09T08:00,75,empty-ac-off,272.6,26.26,441,41.1
2023-12-09T09:00,76,empty-ac-off,273.4,26.25,441,41.1
2023-12-09T10:00,77,empty-ac-off,272.7,26.33,438,41.1
2023-12-09T11:00,78,empty-ac-off,275.0,26.39,432,41.1
2023-12-09T12:00,79,empty-ac-off,278.1,26.40,426,41.1
2023-12-09T13:00,80,empty-ac-off,290.0,26.44,422,41.0
2023-12-09T14:00,81,empty-ac-off,290.8,26.49,420,41.2
2023-12-09T15:00,82,empty-ac-off,283.0,26.53,414,41.3
2023-12-09T16:00,83,empty-ac-off,284.7,26.55,408,41.2
2023-12-09T17:00,84,empty-ac-off,286.5,26.55,409,41.5
2023-12-09T18:00,85,empty-ac-off,282.6,26.51,407,41.1
2023-12-09T19:00,86,empty-ac-off,277.5,26.51,408,41.3
2023-12-09T20:00,87,empty-ac-off,278.3,26.51,402,41.3
2023-12-09T21:00,88,empty-ac-off,282.3,26.50,404,41.2
2023-12-09T22:00,89,empty-ac-off,274.8,26.50,404,41.2
2023-12-09T23:00,90,empty-ac-off,287.7,26.48,404,41.0
2023-12-10T00:00,91,empty-ac-off,292.4,26.48,409,41.4
2023-12-10T01:00,92,empty-ac-off,277.2,26.46,419,41.4
2023-12-10T02:00,93,empty-ac-off,296.9,26.44,426,41.1
2023-12-10T03:00,94,empty-ac-off,295.4,26.42,432,41.3
2023-12-10T04:00,95,empty-ac-off,289.8,26.42,436,41.3
2023-12-10T05:00,96,empty-ac-off,282.4,26.39,437,41.2
2023-12-10T06:00,97,empty-ac-off,281.3,26.35,432,41.1
2023-12-10T07:00,98,empty-ac-off,288.4,26.31,432,41.1
2023-12-10T08:00,99,empty-ac-off,272.3,26.31,427,41.1
2023-12-10T09:00,100,empty-ac-off,287.4,26.29,423,41.2
2023-12-10T10:00,101,empty-ac-off,277.1,26.33,421,41.2
2023-12-10T11:00,102,empty-ac-off,284.4,26.38,418,41.2
2023-12-10T12:00,103,empty-ac-off,287.9,26.44,419,41.3
2023-12-10T13:00,104,empty-ac-off,296.6,26.48,413,41.8
2023-12-10T14:00,105,empty-ac-off,283.9,26.53,405,41.4
2023-12-10T15:00,106,empty-ac-off,291.6,26.58,403,41.6
2023-12-10T16:00,107,empty-ac-off,291.6,26.60,400,41.3
2023-12-10T17:00,108,empty-ac-off,288.9,26.60,399,41.3
2023-12-10T18:00,109,empty-ac-off,292.6,26.60,400,41.5
2023-12-10T19:00,110,empty-ac-off,293.2,26.57,401,41.4
2023-12-10T20:00,111,empty-ac-off,293.7,26.55,404,41.4
2023-12-10T21:00,112,empty-ac-off,290.9,26.51,405,41.4
2023-12-10T22:00,113,empty-ac-off,290.5,26.51,408,41.5
2023-12-10T23:00,114,empty-ac-off,294.5,26.48,411,41.4
2023-12-11T00:00,115,empty-ac-off,286.3,26.47,413,41.5
2023-12-11T01:00,116,empty-ac-off,288.0,26.42,418,41.4
2023-12-11T02:00,117,empty-ac-off,290.8,26.40,419,41.3
2023-12-11T03:00,118,empty-ac-off,293.0,26.36,418,41.4
2023-12-11T04:00,119,empty-ac-off,281.0,26.35,414,41.5
2023-12-11T05:00,120,empty-ac-off,277.0,26.31,407,41.5
2023-12-11T06:00,121,empty-ac-off,273.2,26.29,402,41.4
2023-12-11T07:00,122,empty-ac-off,266.2,26.26,407,41.4
2023-12-11T08:00,123,empty-ac-off,275.7,26.23,401,41.5
2023-12-11T09:00,124,empty-ac-off,272.8,26.24,400,42.0
2023-12-11T10:00,125,empty-ac-off,277.1,26.26,397,41.5
2023-12-11T11:00,126,empty-ac-off,276.7,26.30,394,41.5
2023-12-11T12:00,127,empty-ac-off,283.9,26.36,398,41.5
2023-12-11T13:00,128,empty-ac-off,287.5,26.40,404,41.6
2023-12-11T14:00,129,empty-ac-off,281.4,26.46,402,41.6
2023-12-11T15:00,130,empty-ac-off,281.4,26.51,394,41.9
2023-12-11T16:00,131,empty-ac-off,284.7,26.54,392,42.0
2023-12-11T17:00,132,empty-ac-off,281.6,26.53,393,41.8
2023-12-11T18:00,133,empty-ac-off,280.5,26.53,387,41.8
2023-12-11T19:00,134,empty-ac-off,286.1,26.48,385,41.8
2023-12-11T20:00,135,empty-ac-off,280.2,26.47,393,41.7
2023-12-11T21:00,136,empty-ac-off,282.1,26.47,396,42.0
2023-12-11T22:00,137,empty-ac-off,282.1,26.46,403,41.9
2023-12-11T23:00,138,empty-ac-off,284.4,26.50,408,41.8
2023-12-12T00:00,139,empty-ac-off,277.6,26.40,418,41.7
2023-12-12T01:00,140,empty-ac-off,281.0,26.33,429,41.7
2023-12-12T02:00,141,empty-ac-off,283.2,26.30,428,41.5
2023-12-12T03:00,142,empty-ac-off,284.9,26.29,422,41.4
2023-12-12T04:00,143,empty-ac-off,268.1,26.24,418,41.5
2023-12-12T05:00,144,empty-ac-off,268.5,26.27,416,41.5
2023-12-12T06:00,145,empty-ac-off,262.4,26.21,412,41.5
2023-12-12T07:00,146,empty-ac-off,266.6,26.17,409,41.7
2023-12-12T08:00,147,empty-ac-off,269.7,26.12,410,41.7
2023-12-12T09:00,148,empty-ac-off,276.2,26.13,408,41.9
2023-12-12T10:00,149,empty-ac-off,276.5,26.16,403,41.6
2023-12-12T11:00,150,empty-ac-off,281.7,26.21,403,41.5
2023-12-12T12:00,151,empty-ac-off,285.4,26.28,403,41.5
2023-12-12T13:00,152,empty-ac-off,285.7,26.31,402,41.6
2023-12-12T14:00,153,empty-ac-off,287.3,26.34,402,41.7
2023-12-12T15:00,154,empty-ac-off,287.1,26.36,402,41.7
2023-12-12T16:00,155,empty-ac-off,285.7,26.40,399,41.5
2023-12-12T17:00,156,empty-ac-off,289.3,26.40,403,41.9
2023-12-12T18:00,157,empty-ac-off,285.6,26.40,404,41.7
2023-12-12T19:00,158,empty-ac-off,285.0,26.40,399,41.6
2023-12-12T20:00,159,empty-ac-off,286.1,26.40,401,41.7
2023-12-12T21:00,160,empty-ac-off,283.5,26.38,400,41.5
2023-12-12T22:00,161,empty-ac-off,277.1,26.38,406,41.6
2023-12-12T23:00,162,empty-ac-off,282.0,26.37,409,41.6
2023-12-13T00:00,163,empty-ac-off,284.7,26.37,411,41.6
2023-12-13T01:00,164,empty-ac-off,281.0,26.35,418,41.6
2023-12-13T02:00,165,empty-ac-off,290.3,26.28,421,41.4
2023-12-13T03:00,166,empty-ac-off,292.4,26.30,423,41.4
2023-12-13T04:00,167,empty-ac-off,278.8,26.26,419,41.4
2023-12-13T05:00,168,empty-ac-off,277.5,26.20,414,41.5
2023-12-13T06:00,169,empty-ac-off,276.1,26.16,409,41.5
2023-12-13T07:00,170,empty-ac-off,272.8,26.11,410,41.6
2023-12-13T08:00,171,empty-ac-off,271.5,26.08,409,41.8
2023-12-13T09:00,172,empty-ac-off,273.1,26.09,405,41.9
2023-12-13T10:00,173,empty-ac-off,276.6,26.12,409,41.7
2023-12-13T11:00,174,empty-ac-off,275.4,26.17,408,41.6
2023-12-13T12:00,175,empty-ac-off,277.5,26.23,405,41.6
2023-12-13T13:00,176,empty-ac-off,280.6,26.28,400,41.7
2023-12-13T14:00,177,empty-ac-off,282.7,26.30,399,41.6
2023-12-13T15:00,178,empty-ac-off,276.1,26.33,399,41.6
2023-12-13T16:00,179,empty-ac-off,283.3,26.35,397,41.6
2023-12-13T17:00,180,empty-ac-off,284.8,26.33,398,41.6
2023-12-13T18:00,181,empty-ac-off,279.0,26.33,401,41.5
2023-12-13T19:00,182,empty-ac-off,279.4,26.30,400,41.7
2023-12-13T20:00,183,empty-ac-off,280.0,26.28,400,41.6
2023-12-13T21:00,184,empty-ac-off,278.1,26.26,396,41.5
2023-12-13T22:00,185,empty-ac-off,279.0,26.24,401,41.6
2023-12-13T23:00,186,empty-ac-off,278.2,26.22,403,41.6
2023-12-14T00:00,187,empty-ac-off,275.6,26.20,403,41.6
2023-12-14T01:00,188,empty-ac-off,264.6,26.16,408,41.6
2023-12-14T02:00,189,empty-ac-off,271.0,26.11,410,41.6
2023-12-14T03:00,190,empty-ac-off,268.1,26.07,409,41.5
2023-12-14T04:00,191,empty-ac-off,259.0,26.02,408,41.5
2023-12-14T05:00,192,empty-ac-off,259.7,26.00,409,41.6
2023-12-14T06:00,193,empty-ac-off,255.9,25.94,404,41.6
2023-12-14T07:00,194,empty-ac-off,263.5,25.91,402,41.8
2023-12-14T08:00,195,empty-ac-off,259.0,25.89,406,41.9
2023-12-14T09:00,196,empty-ac-off,261.6,25.88,403,41.9
2023-12-14T10:00,197,empty-ac-off,256.5,25.91,401,41.9
2023-12-14T11:00,198,empty-ac-off,260.6,25.96,400,41.7
2023-12-14T12:00,199,empty-ac-off,262.6,26.00,395,41.7
2023-12-14T13:00,200,empty-ac-off,264.0,26.05,394,41.7
2023-12-14T14:00,201,empty-ac-off,249.0,26.11,392,41.6
2023-12-14T15:00,202,empty-ac-off,250.5,26.15,392,41.6
2023-12-14T16:00,203,empty-ac-off,245.8,26.19,393,41.6
2023-12-14T17:00,204,empty-ac-off,231.6,26.20,393,41.6
2023-12-14T18:00,205,empty-ac-off,234.7,26.21,391,41.6
2023-12-14T19:00,206,empty-ac-off,228.6,26.21,390,41.5
2023-12-14T20:00,207,empty-ac-off,235.4,26.20,390,41.5
2023-12-14T21:00,208,empty-ac-off,228.2,26.19,388,41.5
2023-12-14T22:00,209,empty-ac-off,221.9,26.18,388,41.5
2023-12-14T23:00,210,empty-ac-off,221.6,26.18,390,41.5
2023-12-15T00:00,211,empty-ac-off,219.7,26.21,391,41.5
2023-12-15T01:00,212,empty-ac-off,214.6,26.21,393,41.5
2023-12-15T02:00,213,empty-ac-off,220.2,26.21,388,41.5
2023-12-15T03:00,214,empty-ac-off,222.8,26.21,385,41.5
2023-12-15T04:00,215,empty-ac-off,219.0,26.22,387,41.5
2023-12-15T05:00,216,empty-ac-off,222.1,26.22,385,41.4
2023-12-15T06:00,217,empty-ac-off,220.6,26.20,385,41.5
2023-12-15T07:00,218,empty-ac-off,223.5,26.20,381,41.6
2023-12-15T08:00,219,empty-ac-off,223.3,26.20,379,41.7
2023-12-15T09:00,220,empty-ac-off,226.9,26.21,382,41.7
2023-12-15T10:00,221,empty-ac-off,225.8,26.27,383,41.7
2023-12-15T11:00,222,empty-ac-off,224.3,26.30,384,41.7
2023-12-15T12:00,223,empty-ac-off,218.9,26.32,386,41.8
2023-12-15T13:00,224,empty-ac-off,221.0,26.37,384,41.8
2023-12-15T14:00,225,empty-ac-off,221.1,26.40,381,42.0
2023-12-15T15:00,226,empty-ac-off,215.1,26.41,382,41.8
2023-12-15T16:00,227,empty-ac-off,207.6,26.41,381,41.9
2023-12-15T17:00,228,empty-ac-off,211.5,26.41,381,41.9
2023-12-15T18:00,229,empty-ac-off,218.6,26.40,377,41.9
2023-12-15T19:00,230,empty-ac-off,215.0,26.43,377,41.9
2023-12-15T20:00,231,empty-ac-off,217.7,26.53,374,41.8
2023-12-15T21:00,232,empty-ac-off,213.5,26.55,378,41.7
2023-12-15T22:00,233,empty-ac-off,214.5,26.55,380,41.8
2023-12-15T23:00,234,empty-ac-off,214.9,26.53,377,41.8
2023-12-16T00:00,235,empty-ac-off,211.0,26.59,374,41.7
2023-12-16T01:00,236,empty-ac-off,213.2,26.53,377,41.7
2023-12-16T02:00,237,empty-ac-off,217.6,26.48,379,41.5
2023-12-16T03:00,238,empty-ac-off,217.2,26.35,380,41.7
2023-12-16T04:00,239,empty-ac-off,204.4,26.29,380,41.5
