event,timestamp_local,phase,mould_odour_ou,temperature_c,co2_ppm,sound_dba
jul2026,2026-07-04T10:00,lived-in,31.0,27.47,766,49.9
jul2026,2026-07-04T11:00,lived-in,12.5,27.46,699,49.3
jul2026,2026-07-04T12:00,lived-in,8.9,26.97,652,50.2
jul2026,2026-07-04T13:00,lived-in,5.2,26.67,722,49.6
jul2026,2026-07-04T14:00,lived-in,5.9,26.66,822,49.2
jul2026,2026-07-04T15:00,lived-in,6.1,26.43,917,50.4
jul2026,2026-07-04T16:00,lived-in,5.5,26.24,829,49.0
jul2026,2026-07-04T17:00,lived-in,4.8,26.03,723,48.5
jul2026,2026-07-04T18:00,lived-in,3.8,25.84,676,50.6
jul2026,2026-07-04T19:00,lived-in,7.3,25.81,695,49.1
jul2026,2026-07-04T20:00,lived-in,4.7,25.64,649,49.0
jul2026,2026-07-04T21:00,lived-in,9.9,25.57,711,50.0
jul2026,2026-07-04T22:00,lived-in,5.2,25.92,860,46.7
jul2026,2026-07-04T23:00,lived-in,4.1,25.96,883,46.5
jul2026,2026-07-05T00:00,lived-in,5.9,26.03,938,46.4
jul2026,2026-07-05T01:00,lived-in,6.5,25.95,1003,46.7
jul2026,2026-07-05T02:00,lived-in,1.6,25.24,1070,47.7
jul2026,2026-07-05T03:00,lived-in,4.5,25.03,1090,47.7
jul2026,2026-07-05T04:00,lived-in,3.0,24.94,1104,47.6
jul2026,2026-07-05T05:00,lived-in,8.7,24.99,1127,47.5
jul2026,2026-07-05T06:00,lived-in,4.1,25.20,1143,48.5
jul2026,2026-07-05T07:00,lived-in,2.3,25.38,1167,48.8
jul2026,2026-07-05T08:00,lived-in,7.2,25.87,1050,48.5
jul2026,2026-07-05T09:00,lived-in,8.3,26.29,869,49.2
jul2026,2026-07-05T10:00,lived-in,8.3,26.83,864,48.8
jul2026,2026-07-05T11:00,lived-in,5.6,26.65,797,50.1
jul2026,2026-07-05T12:00,lived-in,6.0,26.38,808,49.1
jul2026,2026-07-05T13:00,lived-in,4.6,26.14,737,48.5
jul2026,2026-07-05T14:00,lived-in,31.4,25.96,672,48.0
jul2026,2026-07-05T15:00,lived-in,10.4,25.89,667,48.5
jul2026,2026-07-05T16:00,lived-in,8.5,25.87,760,49.1
jul2026,2026-07-05T17:00,lived-in,21.7,25.98,742,51.9
jul2026,2026-07-05T18:00,lived-in,4.2,25.84,771,48.6
jul2026,2026-07-05T19:00,lived-in,6.0,25.75,841,49.1
jul2026,2026-07-05T20:00,lived-in,14.2,26.15,945,51.2
jul2026,2026-07-05T21:00,lived-in,13.0,26.25,1125,47.7
jul2026,2026-07-05T22:00,lived-in,4.1,26.12,1115,46.2
jul2026,2026-07-05T23:00,lived-in,2.5,25.78,1113,46.8
jul2026,2026-07-06T00:00,lived-in,4.2,25.31,1102,47.2
jul2026,2026-07-06T01:00,lived-in,6.0,25.46,1019,46.9
jul2026,2026-07-06T02:00,lived-in,6.4,25.47,941,46.9
jul2026,2026-07-06T03:00,lived-in,5.6,25.51,926,46.9
jul2026,2026-07-06T04:00,lived-in,5.1,25.51,945,46.9
jul2026,2026-07-06T05:00,lived-in,4.8,25.56,984,47.0
jul2026,2026-07-06T06:00,lived-in,4.7,25.65,1022,46.8
jul2026,2026-07-06T07:00,lived-in,6.2,25.92,944,46.8
jul2026,2026-07-06T08:00,lived-in,7.1,26.12,752,47.0
jul2026,2026-07-06T09:00,lived-in,7.5,26.64,708,49.3
jul2026,2026-07-06T10:00,lived-in,50.7,27.23,693,57.6
jul2026,2026-07-06T11:00,lived-in,8.9,26.94,717,54.8
jul2026,2026-07-06T12:00,lived-in,9.3,26.55,797,53.1
jul2026,2026-07-06T13:00,lived-in,13.6,26.51,661,48.1
jul2026,2026-07-06T14:00,lived-in,10.2,26.35,551,48.3
jul2026,2026-07-06T15:00,lived-in,6.5,26.28,586,52.9
jul2026,2026-07-06T16:00,lived-in,6.4,26.25,689,49.6
jul2026,2026-07-06T17:00,lived-in,38.2,26.34,754,51.7
jul2026,2026-07-06T18:00,lived-in,9.4,26.32,772,49.6
jul2026,2026-07-06T19:00,lived-in,11.9,26.31,882,54.0
jul2026,2026-07-06T20:00,lived-in,7.0,26.25,918,55.2
jul2026,2026-07-06T21:00,lived-in,4.2,25.97,821,48.2
jul2026,2026-07-06T22:00,lived-in,3.4,25.70,829,48.4
jul2026,2026-07-06T23:00,lived-in,5.4,25.69,938,48.0
jul2026,2026-07-07T00:00,lived-in,6.1,25.67,1030,48.0
jul2026,2026-07-07T01:00,lived-in,4.1,25.66,1096,48.0
jul2026,2026-07-07T02:00,lived-in,6.6,25.67,1156,47.9
jul2026,2026-07-07T03:00,lived-in,25.0,25.86,1220,48.7
jul2026,2026-07-07T04:00,lived-in,16.0,26.24,1097,47.6
jul2026,2026-07-07T05:00,lived-in,12.9,26.33,817,47.7
jul2026,2026-07-07T06:00,lived-in,9.1,26.41,682,47.8
jul2026,2026-07-07T07:00,lived-in,8.9,26.71,670,47.6
jul2026,2026-07-07T08:00,empty,22.3,27.96,603,53.5
jul2026,2026-07-07T09:00,empty,31.4,29.09,649,50.7
jul2026,2026-07-07T10:00,empty,8.6,30.13,628,47.1
jul2026,2026-07-07T11:00,empty,5.2,30.16,580,47.2
jul2026,2026-07-07T12:00,empty,4.5,30.11,548,46.5
jul2026,2026-07-07T13:00,empty,3.2,30.19,521,46.1
jul2026,2026-07-07T14:00,empty,2.3,29.99,503,46.7
jul2026,2026-07-07T15:00,empty,1.8,30.00,499,47.4
jul2026,2026-07-07T16:00,empty,3.5,30.08,514,46.7
jul2026,2026-07-07T17:00,empty,2.4,30.11,516,46.5
jul2026,2026-07-07T18:00,empty,2.6,30.20,523,46.4
jul2026,2026-07-07T19:00,empty,1.8,30.14,513,46.3
jul2026,2026-07-07T20:00,empty,1.9,30.10,510,46.3
jul2026,2026-07-07T21:00,empty,1.7,30.10,505,46.2
jul2026,2026-07-07T22:00,empty,9.9,29.74,506,46.7
jul2026,2026-07-07T23:00,empty,5.1,28.06,500,47.2
jul2026,2026-07-08T00:00,empty,2.6,27.11,494,47.4
jul2026,2026-07-08T01:00,empty,1.7,26.55,490,47.4
jul2026,2026-07-08T02:00,empty,2.1,26.19,489,47.4
jul2026,2026-07-08T03:00,empty,3.0,26.08,500,47.4
jul2026,2026-07-08T04:00,empty,3.5,26.01,503,47.2
jul2026,2026-07-08T05:00,empty,2.9,26.02,503,47.3
jul2026,2026-07-08T06:00,empty,3.6,26.06,508,47.3
jul2026,2026-07-08T07:00,empty,4.0,26.30,533,47.3
jul2026,2026-07-08T08:00,empty,4.5,26.80,537,47.2
jul2026,2026-07-08T09:00,empty,6.5,27.32,565,47.7
jul2026,2026-07-08T10:00,empty,6.7,27.77,548,47.7
jul2026,2026-07-08T11:00,empty,3.5,27.51,538,48.3
jul2026,2026-07-08T12:00,empty,3.8,27.30,533,47.5
jul2026,2026-07-08T13:00,empty,3.8,27.18,525,47.4
jul2026,2026-07-08T14:00,empty,5.2,27.14,516,47.6
jul2026,2026-07-08T15:00,empty,4.2,27.10,509,47.6
jul2026,2026-07-08T16:00,empty,3.0,26.98,521,47.4
jul2026,2026-07-08T17:00,empty,3.7,26.96,523,47.2
jul2026,2026-07-08T18:00,empty,3.7,26.86,534,47.3
jul2026,2026-07-08T19:00,empty,3.2,26.86,560,47.1
jul2026,2026-07-08T20:00,empty,5.9,26.83,586,47.1
jul2026,2026-07-08T21:00,empty,6.2,26.87,543,47.1
jul2026,2026-07-08T22:00,empty,4.9,26.87,510,47.1
jul2026,2026-07-08T23:00,empty,4.6,26.86,512,47.0
jul2026,2026-07-09T00:00,empty,4.8,26.83,525,47.0
jul2026,2026-07-09T01:00,empty,5.7,26.80,529,47.0
jul2026,2026-07-09T02:00,empty,5.1,26.82,523,47.0
jul2026,2026-07-09T03:00,empty,5.3,26.78,511,46.9
jul2026,2026-07-09T04:00,empty,5.7,26.81,508,47.0
jul2026,2026-07-09T05:00,empty,6.0,26.82,510,47.0
jul2026,2026-07-09T06:00,empty,6.3,26.83,519,47.0
jul2026,2026-07-09T07:00,empty,6.2,27.03,524,47.0
jul2026,2026-07-09T08:00,empty,6.1,27.31,571,47.5
jul2026,2026-07-09T09:00,empty,6.2,27.63,543,47.9
jul2026,2026-07-09T10:00,empty,6.3,27.99,494,47.9
jul2026,2026-07-09T11:00,empty,4.2,27.62,484,48.2
jul2026,2026-07-09T12:00,empty,2.8,27.41,494,48.0
jul2026,2026-07-09T13:00,empty,3.2,27.34,502,47.6
jul2026,2026-07-09T14:00,empty,4.1,27.17,501,47.7
jul2026,2026-07-09T15:00,empty,3.9,27.11,490,47.7
jul2026,2026-07-09T16:00,empty,3.8,27.03,484,47.4
jul2026,2026-07-09T17:00,empty,4.5,26.94,495,47.4
jul2026,2026-07-09T18:00,empty,4.0,26.79,505,47.4
jul2026,2026-07-09T19:00,empty,4.1,26.75,513,47.3
jul2026,2026-07-09T20:00,empty,6.5,26.74,542,47.1
jul2026,2026-07-09T21:00,empty,5.5,26.78,577,47.2
jul2026,2026-07-09T22:00,empty,5.2,26.83,566,47.1
jul2026,2026-07-09T23:00,empty,7.1,26.83,533,47.1
jul2026,2026-07-10T00:00,empty,5.9,26.79,500,47.0
jul2026,2026-07-10T01:00,empty,5.2,26.80,499,47.0
jul2026,2026-07-10T02:00,empty,5.5,26.80,513,47.0
jul2026,2026-07-10T03:00,empty,5.9,26.78,526,46.9
jul2026,2026-07-10T04:00,empty,6.0,26.83,544,47.0
jul2026,2026-07-10T05:00,empty,6.3,26.82,560,46.9
jul2026,2026-07-10T06:00,empty,6.6,26.89,572,47.0
jul2026,2026-07-10T07:00,empty,6.4,26.98,582,46.9
jul2026,2026-07-10T08:00,empty,7.1,27.19,584,47.2
jul2026,2026-07-10T09:00,empty,8.0,27.65,564,47.8
jul2026,2026-07-10T10:00,empty,10.3,27.97,509,52.9
jul2026,2026-07-10T11:00,empty,5.1,27.81,489,54.5
jul2026,2026-07-10T12:00,empty,3.7,27.53,493,47.5
jul2026,2026-07-10T13:00,empty,5.1,27.24,481,47.6
jul2026,2026-07-10T14:00,empty,4.5,27.26,472,47.6
jul2026,2026-07-10T15:00,empty,4.9,27.07,472,47.7
jul2026,2026-07-10T16:00,empty,4.0,26.90,478,47.6
jul2026,2026-07-10T17:00,empty,3.5,26.88,466,47.3
jul2026,2026-07-10T18:00,empty,3.6,26.78,468,47.3
jul2026,2026-07-10T19:00,empty,6.1,26.76,515,47.1
jul2026,2026-07-10T20:00,empty,5.4,26.81,493,47.2
jul2026,2026-07-10T21:00,empty,4.2,26.83,483,47.1
jul2026,2026-07-10T22:00,empty,4.5,26.81,479,47.1
jul2026,2026-07-10T23:00,empty,6.0,26.83,467,47.1
jul2026,2026-07-11T00:00,empty,6.9,26.80,464,47.0
jul2026,2026-07-11T01:00,empty,5.3,26.83,463,47.0
jul2026,2026-07-11T02:00,empty,6.9,26.80,461,47.0
jul2026,2026-07-11T03:00,empty,6.4,26.77,459,47.0
jul2026,2026-07-11T04:00,empty,6.6,26.79,476,46.9
jul2026,2026-07-11T05:00,empty,7.1,26.79,498,46.9
jul2026,2026-07-11T06:00,empty,7.1,26.90,516,47.1
jul2026,2026-07-11T07:00,empty,6.5,27.05,542,46.9
jul2026,2026-07-11T08:00,empty,7.7,27.24,588,47.1
jul2026,2026-07-11T09:00,empty,6.3,27.63,608,47.5
jul2026,2026-07-11T10:00,empty,5.4,28.07,597,47.5
jul2026,2026-07-11T11:00,empty,5.7,27.82,621,47.6
jul2026,2026-07-11T12:00,empty,7.3,27.55,615,47.9
jul2026,2026-07-11T13:00,empty,5.6,27.29,565,47.3
jul2026,2026-07-11T14:00,empty,4.5,27.14,554,47.7
jul2026,2026-07-11T15:00,empty,4.0,27.08,532,47.6
jul2026,2026-07-11T16:00,empty,5.8,27.01,514,47.6
jul2026,2026-07-11T17:00,empty,5.2,27.01,497,47.3
jul2026,2026-07-11T18:00,empty,5.3,26.93,479,47.2
jul2026,2026-07-11T19:00,empty,5.0,26.88,486,47.2
jul2026,2026-07-11T20:00,empty,5.8,26.85,477,47.2
jul2026,2026-07-11T21:00,empty,5.6,26.82,482,47.1
jul2026,2026-07-11T22:00,empty,5.9,26.78,502,47.0
jul2026,2026-07-11T23:00,empty,5.6,26.76,528,47.0
jul2026,2026-07-12T00:00,empty,5.2,26.79,554,47.0
jul2026,2026-07-12T01:00,empty,5.0,26.77,566,46.9
jul2026,2026-07-12T02:00,empty,5.3,26.82,590,46.9
jul2026,2026-07-12T03:00,empty,5.5,26.82,603,46.9
jul2026,2026-07-12T04:00,empty,6.1,26.87,613,46.9
jul2026,2026-07-12T05:00,empty,6.4,26.88,622,46.9
jul2026,2026-07-12T06:00,empty,6.3,27.01,637,46.9
jul2026,2026-07-12T07:00,empty,6.1,27.18,642,46.9
jul2026,2026-07-12T08:00,empty,6.1,27.34,644,47.0
jul2026,2026-07-12T09:00,empty,6.4,27.72,590,47.0
jul2026,2026-07-12T10:00,empty,7.9,28.18,553,47.1
jul2026,2026-07-12T11:00,empty,4.0,27.87,532,47.2
jul2026,2026-07-12T12:00,empty,3.3,27.53,541,47.3
jul2026,2026-07-12T13:00,empty,3.4,27.38,558,47.3
jul2026,2026-07-12T14:00,empty,7.3,27.31,568,47.2
jul2026,2026-07-12T15:00,empty,5.2,27.22,530,47.3
jul2026,2026-07-12T16:00,empty,5.1,27.14,521,47.2
jul2026,2026-07-12T17:00,empty,4.9,27.05,515,47.3
jul2026,2026-07-12T18:00,empty,5.0,26.89,531,47.2
jul2026,2026-07-12T19:00,empty,5.5,26.84,497,47.2
jul2026,2026-07-12T20:00,empty,5.2,26.80,474,47.3
jul2026,2026-07-12T21:00,empty,4.7,26.79,482,47.2
jul2026,2026-07-12T22:00,empty,5.3,26.75,491,47.1
jul2026,2026-07-12T23:00,empty,4.6,26.72,513,46.9
